,code_dep,nombre_logement,nombre_maison,nombre_appt
0,01,343728,205984,137744
0,02,275269,206833,68436
0,03,218463,150870,67593
0,04,136986,74351,62635
0,05,141185,52532,88653
0,06,829365,163265,666100
0,07,220369,151702,68667
0,08,150042,104102,45940
0,09,114310,89382,24928
0,10,174586,112416,62170
0,11,275992,191586,84406
0,12,197233,135548,61685
0,13,1119781,372315,747466
0,14,436480,264104,172376
0,15,106426,75671,30755
0,16,208336,173788,34548
0,17,462480,358599,103881
0,18,190140,147058,43082
0,19,163205,120845,42360
0,21,309627,163561,146066
0,22,393648,317927,75721
0,23,93669,78491,15178
0,24,277092,232301,44791
0,25,299922,138932,160990
0,26,292780,179233,113547
0,27,309487,238886,70601
0,28,230601,167532,63069
0,29,571194,410723,160471
0,2A,121977,50179,71798
0,2B,137956,50649,87307
0,30,463912,266143,197769
0,31,796629,368377,428252
0,32,116846,95065,21781
0,33,948090,563829,384261
0,34,780650,354121,426529
0,35,592592,345584,247008
0,36,144832,118435,26397
0,37,345994,216950,129044
0,38,698463,319854,378609
0,39,161424,95738,65686
0,40,273530,199546,73984
0,41,194527,155547,38980
0,42,427333,203288,224045
0,43,154298,112640,41658
0,44,803306,481344,321962
0,45,366308,244786,121522
0,46,127235,103047,24188
0,47,195032,154202,40830
0,48,64851,45563,19288
0,49,419770,290103,129667
0,50,308764,249050,59714
0,51,314679,171350,143329
0,52,105977,79354,26623
0,53,165490,131173,34317
0,54,395655,201177,194478
0,55,104899,77173,27726
0,56,493596,360444,133152
0,57,546212,276830,269382
0,58,149283,112641,36642
0,59,1286743,826418,460325
0,60,393997,260206,133791
0,61,171383,135302,36081
0,62,744645,572308,172337
0,63,417605,251895,165710
0,64,432635,204621,228014
0,65,170899,97409,73490
0,66,366733,194701,172032
0,67,598130,244565,353565
0,68,406933,189717,217216
0,69,1004190,264486,739704
0,70,135398,100619,34779
0,71,330993,219569,111424
0,72,303614,228656,74958
0,73,365263,123688,241575
0,74,561103,192744,368359
0,75,1421118,6443,1414675
0,76,672484,370563,301921
0,77,667030,364251,302779
0,78,689254,273904,415350
0,79,202967,176430,26537
0,80,314590,228268,86322
0,81,225817,172758,53059
0,82,141277,108492,32785
0,83,773268,327685,445583
0,84,333837,200531,133306
0,85,454669,375380,79289
0,86,253363,187425,65938
0,87,233604,150723,82881
0,88,224680,136424,88256
0,89,211033,160664,50369
0,90,74914,33560,41354
0,91,609652,263055,346597
0,92,852725,88770,763955
0,93,749467,155407,594060
0,94,693511,134908,558603
0,95,552066,227998,324068
0,971,232202,153113,79089
0,972,214827,116623,98204
0,973,83527,47879,35648
0,974,397692,251983,145709
0,976,37796,33892,3904
